,teams,KP,seed,ws.40,aBPM,BPM.R,TS,TOV,StlBlk,OR,PER,depth (PP),LinReg,LinReg rank,KP norm,BPM norm,Rank ->,KP+BPM*2,<- *(SoS-min(SoS))^.15,<- *WS/40,KP SOS,WS/40*PP*BPM*Sos^.15,<- Rank,Rough 4Factors,4F ranks,Best D*SOS,Ranks added,538 PR,Bracket Placement,538 rank,Combox5 Rank
1,villanova,31.41,1,7.698062764,9.165781533,1,6.288597097,-6.125759466,9.915841883,0.500515993,2.124355763,8,19.18827517,7,0.981407035,1,1,2.981407035,4.59528893,35.3748226,10.21,877.1537612,1,25.29383944,9,43.09685433,9,94.92,East,1,19
63,cincinnati,27,2,8.36067187,8.283271123,7,5.607141585,-6.609855587,12.51211401,0.631094333,1.936002715,8,21.07426052,2,0.870603015,0.9296963,5,2.729995616,3.902619571,32.62852167,3.15,802.5659947,2,20.97034334,28,43.03512467,9,91.06,South,6,43
15,purdue,26.66,2,7.418879351,8.650756985,4,6.146529908,-6.852774608,10.41112845,0.453580459,1.980830342,8,22.03819145,1,0.862060302,0.95897144,4,2.780003182,4.22194669,31.32211312,8.53,786.7731638,3,22.77068834,21,43.19050082,8,91.08,East,5,34
43,michigan-state,26.34,3,7.554543273,8.321028278,6,6.14756453,-8.335294621,10.70503856,0.568594687,1.970207369,8,18.59279763,10,0.854020101,0.93270416,6,2.719428421,4.045319581,30.56054182,6.44,755.8018781,4,20.64325534,30,41.62594745,20,91.67,Midwest,4,54
11,texas-tech,21.94,3,6.531836543,7.152919994,12,5.677689111,-7.468999149,11.55666197,0.587701581,1.743779552,10,17.58875459,17,0.743467337,0.839648789,13,2.422764915,3.703806476,24.19265849,9.26,720.4304181,5,24.90236775,11,48.94897813,35,87.27,East,16,62
47,duke,29.13,2,7.372611312,8.872528795,3,5.909299413,-7.436906728,11.10952381,0.692334537,2.092535671,7,18.17945647,13,0.924120603,0.976638516,3,2.877397636,4.456615614,32.85689469,10.8,714.8338975,6,27.30526186,4,49.03316424,22,92.59,Midwest,3,29
49,virginia,32.15,1,7.236633872,8.979181307,2,5.565531216,-6.07807296,11.3667428,0.421611033,1.750050949,7,15.87478355,20,1,0.985134809,2,2.970269617,4.565354956,33.03780231,9.88,704.9496144,7,24.95031138,10,48.96942663,29,93.07,South,2,41
27,michigan,23.2,3,6.793974157,7.309186889,10,5.775384941,-5.677581274,9.118988339,0.45729751,1.858326505,8,19.29188582,6,0.775125628,0.852097527,9,2.479320682,3.772581895,25.6308239,8.74,609.874067,8,22.52976711,25,38.06017104,23,88.54,West,12,60
5,west-virginia,21.77,5,6.651598437,7.32965857,9,5.488659173,-6.38913316,13.58703924,0.5951894,1.911182266,8,20.24810998,4,0.73919598,0.853728369,11,2.446652717,3.780170694,25.14417748,10.5,607.4730909,9,29.13845926,1,59.50440694,24,88.58,East,11,36
23,gonzaga,24.73,4,7.69682453,6.99560122,13,6.045284243,-6.739951914,9.118157008,0.539250281,2.009091347,7,14.94829965,23,0.813567839,0.827116255,10,2.467800349,3.913257036,30.11965275,13.94,601.7395552,10,27.75599215,2,43.36639951,43,89.54,West,9,54
17,xavier,21.69,1,6.021794911,6.830275789,14,6.022177745,-7.59304109,8.127761694,0.525601097,1.836349231,9,14.49548739,25,0.73718593,0.813945884,14,2.365077697,3.625780687,21.83370769,9.58,572.310647,11,21.39290932,27,34.7313247,50,88.88,West,10,87
7,wichita-state,20.07,4,6.540571237,6.527788978,17,5.933908189,-7.100903125,8.710668683,0.623313172,1.88890793,9,17.05434013,18,0.696482412,0.789848784,16,2.276179979,3.352293397,21.92591377,5.53,572.1546185,12,19.30680547,34,32.83587051,46,87.97,East,14,94
33,kansas,23.23,1,6.184336351,7.765244745,8,5.990807312,-7.175735084,10.33914378,0.482154366,1.8860089,7,18.93347048,8,0.775879397,0.888428605,8,2.552736607,3.975569254,24.58625746,11.49,527.5360885,13,25.46575966,8,46.43415255,29,90.88,Midwest,7,44
21,ohio-state,21.11,5,6.029750169,6.786022957,15,5.791442091,-7.847810774,9.907174207,0.482761648,1.757545577,8,14.73799989,24,0.722613065,0.810420557,15,2.343454179,3.545653133,21.37940257,8.13,499.8501041,14,20.808422,29,40.61941425,53,85.59,West,20,102
25,houston,20.55,6,6.878395535,6.101430066,22,5.713712256,-7.653873405,9.372479944,0.589445413,1.783242065,8,13.25725594,32,0.708542714,0.755883622,20,2.220309957,3.183163656,21.89505868,3.36,487.6438414,15,16.68677293,41,32.52128993,67,86.21,West,19,127
59,tennessee,22.15,3,6.050114055,7.16808212,11,5.557303114,-7.046991228,10.84300755,0.564339358,1.7321495,7,16.73640921,19,0.748743719,0.840856654,12,2.430457027,3.788973284,22.92372052,11.62,476.8578976,16,26.61671301,5,48.85373575,47,87.17,South,17,69
55,arizona,19.36,4,6.659237435,6.615389948,16,6.117716375,-7.471964069,9.05322357,0.604655113,2.023885615,7,18.21929625,12,0.678643216,0.796827367,17,2.27229795,3.370044924,22.44192931,6.16,462.1607657,17,19.905527,33,34.87548018,46,87.86,South,15,94
31,north-carolina,25.03,2,6.17929975,8.376866738,5,5.58674052,-6.375494502,9.09021079,0.617704537,1.900460879,6,20.78274369,3,0.821105528,0.937152437,7,2.695410401,3.736964786,23.09182557,1.15,437.577666,18,15.62850218,43,28.50038409,28,90.62,West,8,79
53,kentucky,20.39,5,5.276509448,6.170348748,21,5.612083333,-7.83312023,10.20399447,0.570003073,1.661009372,8,10.56352164,40,0.704522613,0.761373912,19,2.227270437,3.458570478,18.2491798,11.12,407.6112826,19,24.8029883,12,45.40490901,78,88.17,South,13,103
14,butler,17.86,10,5.308587447,6.01230338,24,5.799130085,-6.97302919,9.232969942,0.420819187,1.715033484,8,15.05757992,22,0.640954774,0.748783495,24,2.138521764,3.304914027,17.54442512,10.53,397.7763464,20,22.79726271,19,40.46738155,66,84.65,East,23,108
39,auburn,20.63,4,5.905178787,5.432198998,32,5.661498559,-7.246048717,9.995318708,0.5557782,1.739454137,8,7.347447078,55,0.710552764,0.70257046,25,2.115693685,3.184720276,18.80634262,7.6,389.9840716,21,21.56855055,26,40.3295937,101,84.04,Midwest,25,152
13,arkansas,15.63,7,5.399730504,5.817433047,26,5.761256545,-6.336266424,11.08217955,0.477424625,1.842624221,8,18.32692943,11,0.584924623,0.73325948,30,2.051443582,3.102661035,16.75353344,8.09,383.5954305,22,23.37141592,15,45.38284455,63,83.29,East,31,109
29,texas-am,16.91,7,5.409919624,6.44279553,19,5.557117859,-7.618952349,11.41435013,0.6917624,1.748843364,7,18.59583685,9,0.617085427,0.783077924,23,2.183241276,3.39585432,18.37129892,11.33,382.428513,23,27.60013963,3,51.05928564,55,83.55,West,28,86
41,texas-christian,18.91,6,5.517335689,6.241183746,20,5.955036844,-7.809295909,9.68664311,0.653570671,1.888498233,7,13.9707674,27,0.667336683,0.767016862,22,2.201370408,3.382965451,18.66495602,9.86,373.5174333,24,24.22809076,13,41.70884504,73,84.84,Midwest,22,108
58,loyola-il,15.09,11,6.690976096,4.493791501,43,6.149900227,-8.022669222,9.289724436,0.375068061,1.797941567,8,10.88175162,38,0.571356784,0.627813814,41,1.826984412,2.747151933,18.38112792,7.49,365.1731912,25,18.65763605,37,37.35578279,104,81.28,South,42,183
37,clemson,20.27,5,5.50745098,6.043778281,23,5.670177176,-8.006827846,10.92435897,0.451498869,1.641242459,7,10.0973148,42,0.701507538,0.75129089,21,2.204089317,3.381029608,18.62085483,9.65,360.438832,26,22.75269699,22,46.77105811,89,84.15,Midwest,24,135
3,virginia-tech,16.63,8,5.621561027,5.69163611,29,6.034054054,-7.743907609,7.536406496,0.36954601,1.735943775,7,14.34045453,26,0.610050251,0.723238079,29,2.05652641,3.109756433,17.48168556,8.07,341.8175188,27,17.59201304,39,30.8440729,82,83.43,East,29,150
9,florida,18.71,6,5.587622782,6.49318394,18,5.478,-6.096611047,11.10360411,0.445828198,1.776817927,6,18.09093638,15,0.662311558,0.787092032,18,2.236495621,3.462274491,19.34588383,10.74,339.6826927,28,25.68327504,7,48.9315059,61,86.43,East,18,86
35,seton-hall,17.33,8,5.386692375,5.788466258,27,5.612507579,-7.328424107,8.876511832,0.603004382,1.763276074,7,13.88638506,28,0.627638191,0.730951889,26,2.089541969,3.201698006,17.24656224,9.52,337.2829818,29,22.71063912,23,37.86849368,83,85.05,Midwest,21,127
51,creighton,17.28,8,5.555058118,5.591751031,30,5.955686546,-7.116757161,6.624690664,0.299733783,1.696111736,7,13.39601619,31,0.62638191,0.715280903,28,2.056943716,3.141765174,17.45268814,9.16,334.9991468,30,17.62095788,38,27.98098695,89,83.4,South,30,157
52,kansas-state,14.75,9,5.373685858,5.773978083,28,5.805255643,-7.408179343,11.10600104,0.416512437,1.784670377,7,17.86386606,16,0.56281407,0.729797713,32,2.022409497,3.090666193,16.60826921,9.22,334.7907113,31,22.88820171,18,46.98770413,79,81.48,South,41,138
42,arizona-state,14.71,11,5.935086603,5.394273595,33,5.852513413,-6.392531906,9.357847296,0.478692117,1.855821845,7,18.11155404,14,0.561809045,0.699549197,35,1.96090744,2.892864307,17.16940019,5.68,334.2190776,32,19.28474998,35,35.46117926,81,81.26,Midwest,44,160
45,rhode-island,14.38,7,5.732991168,4.556173971,42,5.49036308,-6.591117021,10.04109315,0.509311781,1.712739543,8,12.30835249,34,0.553517588,0.632783408,43,1.819084404,2.843743213,16.30315472,11.98,329.1100208,33,26.01345702,6,45.64005453,110,83.07,Midwest,33,149
46,oklahoma,14.42,10,5.316935136,5.989339604,25,5.884940878,-7.387200336,10.37344699,0.514750147,1.898197139,7,19.75220553,5,0.554522613,0.746954125,31,2.048430862,2.911816191,15.48193782,2.75,321.2515825,34,16.768689,40,35.07084317,70,82.1,Midwest,36,146
26,san-diego-state,14.14,11,5.886646946,4.3499913,44,5.53881769,-7.092352335,8.702053245,0.478353924,1.65998608,8,11.01684915,35,0.547487437,0.616358214,44,1.780203865,2.7628061,16.26366409,11.05,320.4169099,35,22.98205784,17,38.65318443,114,81.72,West,40,171
20,florida-state,15.82,9,5.625288777,5.334807804,34,5.704803371,-7.524988609,8.46420707,0.556185049,1.761352134,7,13.56011196,30,0.589698492,0.694811956,33,1.979322404,2.986704517,16.8010754,7.85,319.9650686,36,20.05587232,32,34.41301361,99,83.61,West,27,158
54,davidson,14.91,12,6.317369554,4.911926454,37,6.149827139,-6.621348345,6.959748219,0.390916018,1.866589366,7,15.12939589,21,0.566834171,0.661123828,37,1.889081827,2.653764164,16.76480894,1.96,309.6901716,37,12.35738719,47,22.70201167,95,81.9,South,37,179
61,nevada,18.17,7,6.31545584,5.508707265,31,5.785972696,-6.413650191,9.853899573,0.525977564,1.904926994,6,13.69642498,29,0.648743719,0.708665362,27,2.066074443,3.005657928,18.98209992,4.49,307.2865233,38,18.97599772,36,35.76028895,94,81.82,South,38,168
38,new-mexico-state,13.56,12,6.697234009,3.775227309,46,5.419253982,-7.729093126,8.620673154,0.661679694,1.662517148,9,9.080462308,48,0.532914573,0.570570612,46,1.674055798,2.207905523,14.78685996,-1.35,306.7938754,39,11.57763095,50,23.339587,133,79.79,Midwest,45,228
36,north-carolina-state,15.13,9,5.240771542,4.665976285,39,5.658895094,-7.545051119,10.08320949,0.547479842,1.732042688,9,9.60083376,45,0.572361809,0.641530623,39,1.855423056,2.520583597,13.20980278,0.03,304.4969788,40,13.70185188,44,29.75828286,124,81.74,Midwest,39,207
4,alabama,13.82,9,4.573847146,4.825233796,38,5.55510177,-8.840600624,11.67225089,0.515162851,1.540786843,9,9.913227961,43,0.539447236,0.654217604,40,1.847882444,2.763226246,12.63857448,6.94,299.9816376,41,20.47838054,31,46.13124001,124,82.2,East,35,190
10,ucla,14.38,11,5.050191122,4.599260173,41,5.733050521,-7.086170936,8.803360049,0.516626079,1.704451295,8,10.96089018,37,0.553517588,0.636215797,42,1.825949182,2.618496246,13.22390649,3.38,269.9528239,42,15.99650042,42,30.57187804,121,83.22,East,32,195
62,texas,15.46,10,4.650421108,5.322697886,35,5.237406471,-7.436379567,11.0626245,0.566332343,1.570875415,7,12.3085146,33,0.580653266,0.693847239,34,1.968347745,3.017836297,14.03420961,9.59,267.9062959,43,24.11697483,14,47.28544112,110,82.9,South,34,158
57,miami-fl,15.71,6,5.277396947,4.604847328,40,5.6307881,-7.034456124,9.828358779,0.462131679,1.669307252,7,9.014837183,50,0.586934673,0.636660889,38,1.86025645,2.865797639,15.12395171,10.15,264.2168955,44,23.19600755,16,42.64873575,132,83.94,South,26,174
19,missouri,15.47,8,4.998182605,4.948961489,36,5.746369083,-9.104131046,8.899675465,0.520417568,1.530653397,6,8.575331971,51,0.580904523,0.664074161,36,1.909052845,2.980274681,14.89595707,11.8,233.4408932,45,22.54608918,24,40.27533358,132,78.49,West,48,204
6,murray-state,12.69,12,7.097202727,3.228754366,47,5.946839008,-7.649328743,9.552818892,0.575140529,1.867967737,8,7.874990738,54,0.511055276,0.527036769,47,1.565128815,1.894306806,13.44427943,-4.11,230.2499975,46,9.491734446,53,20.42159431,147,78.93,East,47,247
30,providence,11.92,10,4.238896198,4.182608696,45,5.402693322,-7.667156003,9.689058238,0.500267929,1.545806193,8,9.609309319,44,0.491708543,0.603023962,45,1.697756466,2.6198399,11.10522939,10.35,220.6509608,47,22.77727485,20,42.2669549,136,81.27,West,43,199
22,south-dakota-state,10.48,12,6.410131781,3.004045357,49,5.99463065,-6.016919791,6.676494024,0.420553172,1.842992645,8,10.84917226,39,0.455527638,0.509135706,49,1.473799051,1.991873315,12.76817044,-0.23,212.1738891,48,10.6297366,51,19.40782284,136,78.07,West,50,237
56,buffalo,10.58,13,5.793729521,3.082444587,48,5.739283019,-7.228540827,9.218631545,0.510308384,1.776305814,8,8.237908481,53,0.458040201,0.515381248,48,1.488802698,1.982148242,11.48403078,-0.94,194.2024147,49,11.89245758,48,25.6470216,150,79.07,South,46,244
28,montana,10.82,14,6.093635783,2.843514377,50,5.586380241,-7.187641982,10.25634185,0.547851438,1.720715655,7,7.063576943,56,0.464070352,0.496347277,50,1.456764906,1.876067822,11.43207401,-2.28,160.2348423,50,11.85359449,49,25.94672057,156,76.79,West,52,257
24,north-carolina-greensboro,9.06,13,6.318147239,2.203220859,54,5.516866497,-8.583648474,12.1634816,0.61803681,1.625556748,9,4.331509807,59,0.419849246,0.445339377,51,1.310528,1.527752572,9.652565697,-4.9,152.9375246,51,10.37706772,52,23.64851106,161,78.03,West,51,264
64,georgia-state,7.22,15,6.01093384,2.24031339,53,5.705955427,-6.800707712,12.2276195,0.415978158,1.770747072,7,9.172523619,47,0.37361809,0.448294291,52,1.270206671,1.612143889,9.690490255,-2.78,123.0202384,52,12.51264879,46,29.70078457,151,75.99,South,54,251
44,bucknell,6.81,14,6.139036705,2.30347359,52,5.880370679,-7.493839499,9.525443151,0.472205909,1.84392838,7,9.498235839,46,0.363316583,0.453325841,53,1.269968265,1.473179649,9.043903935,-4.99,120.4024883,53,7.644033418,58,18.29777877,152,78.25,Midwest,49,259
12,stephen-f-austin,5.62,14,6.708018605,1.369906977,57,5.794070525,-8.850303099,12.00072868,0.592756589,1.723350388,9,4.895327418,58,0.333417085,0.378954835,56,1.091326756,1.437291754,9.641379828,-1.41,111.3673811,54,13.462062,45,32.35748977,168,74.78,East,58,271
8,marshall,5.39,13,5.561737407,2.365086705,51,5.974789157,-7.563768933,11.27857969,0.350582989,1.823744013,7,10.96255144,36,0.327638191,0.458234146,54,1.244106482,0,0,-7.68,92.0779384,55,5.515429803,62,11.27857969,145,75.58,East,55,262
34,pennsylvania,3.7,16,5.833243192,1.719462959,55,5.660744628,-7.533252938,7.834317273,0.392426205,1.631752047,6,10.15924687,41,0.285175879,0.406801622,55,1.098779123,1.294323507,7.550103786,-4.7,74.03492125,56,5.186071008,63,15.62941387,152,75.55,Midwest,56,271
40,college-of-charleston,4.74,13,5.543460052,1.471005155,56,5.751695856,-6.129128325,8.723518041,0.420143363,1.79339884,7,8.274065795,52,0.311306533,0.387008651,57,1.085323834,1.284818992,7.122342759,-4.6,70.48426595,57,7.947519207,56,17.62064271,166,76.44,Midwest,53,275
32,lipscomb,0.38,15,5.649992748,0.884100798,58,5.803875969,-8.232491508,8.440300943,0.502989485,1.674131617,7,9.041063829,49,0.201758794,0.340253908,60,0.882266609,1.027949568,5.807907603,-4.91,42.66766881,58,6.131580255,60,16.38810006,167,72.45,West,60,287
48,iona,2.88,15,4.733468388,0.824424114,59,5.705087209,-7.123348276,8.682502859,0.386538147,1.667069106,7,4.103070125,60,0.264572864,0.335499865,58,0.935572595,1.098714661,5.200731114,-4.76,33.52903986,59,6.369623266,59,17.19047862,177,74.79,Midwest,57,293
16,cal-state-fullerton,1.32,15,4.893599707,0.719666422,60,5.793083416,-9.028284901,9.12476173,0.407996701,1.574316349,7,3.711723484,61,0.225376884,0.327154521,61,0.879685926,1.164297312,5.697604983,-1.2,33.33826246,60,8.769527254,54,24.955848,182,71.88,East,61,297
60,wright-state,2.81,14,5.322830189,0.584494827,61,5.364432639,-7.983910612,7.978849665,0.495616251,1.446471394,8,2.792853882,62,0.26281407,0.316386304,59,0.895586679,1.146522888,6.10274664,-2.49,32.71650229,61,7.8255342,57,19.85114707,182,74.31,South,59,298
50,maryland-baltimore-county,-1.91,16,5.156435781,-0.060146189,62,5.628050166,-7.61519967,9.674068918,0.393160459,1.606608075,7,6.350921109,57,0.144221106,0.265032068,63,0.674285241,0.731430255,3.77157314,-5.96,-2.522557655,62,5.658524008,61,15.95488319,182,71.36,South,62,305
2,radford,-0.02,16,4.811413693,-0.302465921,63,5.338770453,-7.707568643,9.582355644,0.575106448,1.528618471,9,0.980365602,63,0.191708543,0.245728076,62,0.683164695,0.818261372,3.936993968,-4.35,-16.31792165,63,8.614621936,55,19.93959044,188,70.89,East,63,306
18,north-carolina-central,-7.65,16,4.749570573,-3.38704876,64,5.571994395,-8.438784188,8.501899059,0.613734816,1.565057314,9,-7.812154113,64,0,0,64,0,0,0,-6.72,-160.1609787,64,5.052457427,64,11.90265868,192,65.3,West,64,320