,teams,KP,seed,ws.40,ws.40.R,aBPM,BPM.R,TS,TOV,StlBlk,OR,PER,depth,LinReg,LinReg rank,KP SOS,ws/40*BPM*Depth*sos^.15,<- Rank,norm bpm,norm kp,2*BPM+KP,<- Rank,norm rankx3,Rankx3
1,villanova,31.41,1,7.698062764,7.698062764,9.165781533,1,6.288597097,-6.125759466,9.915841883,0.500515993,2.124355763,8,19.18827517,7,10.21,870.0265128,1,0.981407035,1,2.981407035,1,0.946543107,9
63,cincinnati,27,2,8.36067187,8.36067187,8.283271123,7,5.607141585,-6.609855587,12.51211401,0.631094333,1.936002715,8,21.07426052,2,3.15,792.0038837,2,0.870603015,0.9296963,2.729995616,5,0.916050093,9
15,purdue,26.66,2,7.049029265,7.049029265,8.90162384,3,6.045713624,-6.966202529,10.04016774,0.386746966,1.850554961,7,22.85326956,1,8.53,667.0586865,7,0.862060302,0.978956324,2.81997295,4,0.904187937,12
43,michigan-state,26.34,3,7.554543273,7.554543273,8.321028278,6,6.14756453,-8.335294621,10.70503856,0.568594687,1.970207369,8,18.59279763,10,6.44,748.0840628,3,0.854020101,0.93270416,2.719428421,6,0.8618475,19
47,duke,29.13,2,7.372611312,7.372611312,8.872528795,4,5.909299413,-7.436906728,11.10952381,0.692334537,2.092535671,7,18.17945647,13,10.8,709.2054932,5,0.924120603,0.976638516,2.877397636,3,0.858584632,21
49,virginia,32.15,1,7.236633872,7.236633872,8.979181307,2,5.565531216,-6.07807296,11.3667428,0.421611033,1.750050949,7,15.87478355,20,9.88,699.1173148,6,1,0.985134809,2.970269617,2,0.8314875,28
11,texas-tech,21.94,3,6.531836543,6.531836543,7.152919994,12,5.677689111,-7.468999149,11.55666197,0.587701581,1.743779552,10,17.58875459,17,9.26,714.2589425,4,0.743467337,0.839648789,2.422764915,13,0.801075126,34
5,west-virginia,21.77,5,6.651598437,6.651598437,7.32965857,9,5.488659173,-6.38913316,13.58703924,0.5951894,1.911182266,8,20.24810998,4,10.5,602.6134716,9,0.73919598,0.853728369,2.446652717,11,0.799759979,24
27,michigan,23.2,3,6.793974157,6.793974157,7.309186889,10,5.775384941,-5.677581274,9.118988339,0.45729751,1.858326505,8,19.29188582,6,8.74,604.4897164,8,0.775125628,0.852097527,2.479320682,9,0.790183936,23
31,north-carolina,25.03,2,6.17929975,6.17929975,8.376866738,5,5.58674052,-6.375494502,9.09021079,0.617704537,1.900460879,6,20.78274369,3,1.15,430.5922663,18,0.821105528,0.937152437,2.695410401,7,0.769463655,28
33,kansas,23.23,1,6.184336351,6.184336351,7.765244745,8,5.990807312,-7.175735084,10.33914378,0.482154366,1.8860089,7,18.93347048,8,11.49,523.5276298,13,0.775879397,0.888428605,2.552736607,8,0.762145345,29
23,gonzaga,24.73,4,7.69682453,7.69682453,6.99560122,13,6.045284243,-6.739951914,9.118157008,0.539250281,2.009091347,7,14.94829965,23,13.94,597.6721566,10,0.813567839,0.827116255,2.467800349,10,0.722929203,43
7,wichita-state,20.07,4,6.540571237,6.540571237,6.527788978,17,5.933908189,-7.100903125,8.710668683,0.623313172,1.88890793,9,17.05434013,18,5.53,565.9260938,12,0.696482412,0.789848784,2.276179979,16,0.720060697,46
59,tennessee,22.15,3,6.050114055,6.050114055,7.16808212,11,5.557303114,-7.046991228,10.84300755,0.564339358,1.7321495,7,16.73640921,19,11.62,473.2582248,16,0.748743719,0.840856654,2.430457027,12,0.697168366,47
55,arizona,19.36,4,6.659237435,6.659237435,6.615389948,16,6.117716375,-7.471964069,9.05322357,0.604655113,2.023885615,7,18.21929625,12,6.16,457.3497041,17,0.678643216,0.796827367,2.27229795,17,0.695019611,46
17,xavier,21.69,1,6.021794911,6.021794911,6.830275789,14,6.022177745,-7.59304109,8.127761694,0.525601097,1.836349231,9,14.49548739,25,9.58,567.4960306,11,0.73718593,0.813945884,2.365077697,14,0.693278383,50
21,ohio-state,21.11,5,6.029750169,6.029750169,6.786022957,15,5.791442091,-7.847810774,9.907174207,0.482761648,1.757545577,8,14.73799989,24,8.13,495.2727234,14,0.722613065,0.810420557,2.343454179,15,0.666727105,53
29,texas-am,16.91,7,5.409919624,5.409919624,6.44279553,19,5.557117859,-7.618952349,11.41435013,0.6917624,1.748843364,7,18.59583685,9,11.33,379.4988979,23,0.617085427,0.783077924,2.183241276,23,0.660727877,55
9,florida,18.71,6,5.587622782,5.587622782,6.49318394,18,5.478,-6.096611047,11.10360411,0.445828198,1.776817927,6,18.09093638,15,10.74,336.999673,28,0.662311558,0.787092032,2.236495621,18,0.643034816,61
13,arkansas,15.63,7,5.399730504,5.399730504,5.817433047,26,5.761256545,-6.336266424,11.08217955,0.477424625,1.842624221,8,18.32692943,11,8.09,380.0740509,22,0.584924623,0.73325948,2.051443582,30,0.642290491,63
46,oklahoma,14.42,10,5.316935136,5.316935136,5.989339604,25,5.884940878,-7.387200336,10.37344699,0.514750147,1.898197139,7,19.75220553,5,2.75,316.8699004,36,0.554522613,0.746954125,2.048430862,31,0.638527044,72
25,houston,20.55,6,6.878395535,6.878395535,6.101430066,22,5.713712256,-7.653873405,9.372479944,0.589445413,1.783242065,8,13.25725594,32,3.36,481.342414,15,0.708542714,0.755883622,2.220309957,20,0.626024121,67
52,kansas-state,14.75,9,5.373685858,5.373685858,5.773978083,28,5.805255643,-7.408179343,11.10600104,0.416512437,1.784670377,7,17.86386606,16,9.22,331.916201,31,0.56281407,0.729797713,2.022409497,32,0.61383949,79
42,arizona-state,14.71,11,5.935086603,5.935086603,5.394273595,33,5.852513413,-6.392531906,9.357847296,0.478692117,1.855821845,7,18.11155404,14,5.68,330.6199372,32,0.561809045,0.699549197,1.96090744,35,0.610079403,81
14,butler,17.86,10,5.308587447,5.308587447,6.01230338,24,5.799130085,-6.97302919,9.232969942,0.420819187,1.715033484,8,15.05757992,22,10.53,394.5993282,20,0.640954774,0.748783495,2.138521764,24,0.609905159,66
41,texas-christian,18.91,6,5.517335689,5.517335689,6.241183746,20,5.955036844,-7.809295909,9.68664311,0.653570671,1.888498233,7,13.9707674,27,9.86,370.4237768,24,0.667336683,0.767016862,2.201370408,22,0.591817474,73
3,virginia-tech,16.63,8,5.621561027,5.621561027,5.69163611,29,6.034054054,-7.743907609,7.536406496,0.36954601,1.735943775,7,14.34045453,26,8.07,338.675811,27,0.610050251,0.723238079,2.05652641,29,0.568851915,82
35,seton-hall,17.33,8,5.386692375,5.386692375,5.788466258,27,5.612507579,-7.328424107,8.876511832,0.603004382,1.763276074,7,13.88638506,28,9.52,334.4359746,29,0.627638191,0.730951889,2.089541969,26,0.56429581,83
53,kentucky,20.39,5,5.276509448,5.276509448,6.170348748,21,5.612083333,-7.83312023,10.20399447,0.570003073,1.661009372,8,10.56352164,40,11.12,404.4548947,19,0.704522613,0.761373912,2.227270437,19,0.558054125,78
51,creighton,17.28,8,5.555058118,5.555058118,5.591751031,30,5.955686546,-7.116757161,6.624690664,0.299733783,1.696111736,7,13.39601619,31,9.16,332.1129319,30,0.62638191,0.715280903,2.056943716,28,0.552608741,89
54,davidson,14.91,12,6.317369554,6.317369554,4.911926454,37,6.149827139,-6.621348345,6.959748219,0.390916018,1.866589366,7,15.12939589,21,1.96,305.1390105,37,0.566834171,0.661123828,1.889081827,37,0.548789322,95
61,nevada,18.17,7,6.31545584,6.31545584,5.508707265,31,5.785972696,-6.413650191,9.853899573,0.525977564,1.904926994,6,13.69642498,29,4.49,303.6681434,38,0.648743719,0.708665362,2.066074443,27,0.547113243,94
20,florida-state,15.82,9,5.625288777,5.625288777,5.334807804,34,5.704803371,-7.524988609,8.46420707,0.556185049,1.761352134,7,13.56011196,30,7.85,316.9840123,35,0.589698492,0.694811956,1.979322404,33,0.54052749,98
37,clemson,20.27,5,5.50745098,5.50745098,6.043778281,23,5.670177176,-8.006827846,10.92435897,0.451498869,1.641242459,7,10.0973148,42,9.65,357.4184675,26,0.701507538,0.75129089,2.204089317,21,0.53064131,89
45,rhode-island,14.38,7,5.732991168,5.732991168,4.556173971,42,5.49036308,-6.591117021,10.04109315,0.509311781,1.712739543,8,12.30835249,34,11.98,326.6698743,33,0.553517588,0.632783408,1.819084404,43,0.508065261,110
58,loyola-il,15.09,11,6.690976096,6.690976096,4.493791501,43,6.149900227,-8.022669222,9.289724436,0.375068061,1.797941567,8,10.88175162,38,7.49,361.6930976,25,0.571356784,0.627813814,1.826984412,41,0.501558842,104
62,texas,15.46,10,4.650421108,4.650421108,5.322697886,35,5.237406471,-7.436379567,11.0626245,0.566332343,1.570875415,7,12.3085146,33,9.59,265.6537729,43,0.580653266,0.693847239,1.968347745,34,0.501378765,110
39,auburn,20.63,4,5.905178787,5.905178787,5.432198998,32,5.661498559,-7.246048717,9.995318708,0.5557782,1.739454137,8,7.347447078,55,7.6,386.2933325,21,0.710552764,0.70257046,2.115693685,25,0.491712117,101
26,san-diego-state,14.14,11,5.886646946,5.886646946,4.3499913,44,5.53881769,-7.092352335,8.702053245,0.478353924,1.65998608,8,11.01684915,35,11.05,317.9267215,34,0.547487437,0.616358214,1.780203865,44,0.481530879,113
10,ucla,14.38,11,5.050191122,5.050191122,4.599260173,41,5.733050521,-7.086170936,8.803360049,0.516626079,1.704451295,8,10.96089018,37,3.38,266.4704453,42,0.553517588,0.636215797,1.825949182,42,0.466114736,121
4,alabama,13.82,9,4.573847146,4.573847146,4.825233796,38,5.55510177,-8.840600624,11.67225089,0.515162851,1.540786843,9,9.913227961,43,6.94,297.0192677,41,0.539447236,0.654217604,1.847882444,40,0.464990139,124
36,north-carolina-state,15.13,9,5.240771542,5.240771542,4.665976285,39,5.658895094,-7.545051119,10.08320949,0.547479842,1.732042688,9,9.60083376,45,0.03,298.9774417,40,0.572361809,0.641530623,1.855423056,39,0.462026925,124
57,miami-fl,15.71,6,5.277396947,5.277396947,4.604847328,40,5.6307881,-7.034456124,9.828358779,0.462131679,1.669307252,7,9.014837183,50,10.15,262.0630184,44,0.586934673,0.636660889,1.86025645,38,0.43987706,132
38,new-mexico-state,13.56,12,6.697234009,6.697234009,3.775227309,46,5.419253982,-7.729093126,8.620673154,0.661679694,1.662517148,9,9.080462308,48,-1.35,300.1177251,39,0.532914573,0.570570612,1.674055798,46,0.434596174,133
19,missouri,15.47,8,4.998182605,4.998182605,4.948961489,36,5.746369083,-9.104131046,8.899675465,0.520417568,1.530653397,6,8.575331971,51,11.8,231.6945329,45,0.580904523,0.664074161,1.909052845,36,0.427287075,132
30,providence,11.92,10,4.238896198,4.238896198,4.182608696,45,5.402693322,-7.667156003,9.689058238,0.500267929,1.545806193,8,9.609309319,44,10.35,218.8715753,47,0.491708543,0.603023962,1.697756466,45,0.413831819,136
22,south-dakota-state,10.48,12,6.410131781,6.410131781,3.004045357,49,5.99463065,-6.016919791,6.676494024,0.420553172,1.842992645,8,10.84917226,39,-0.23,208.2029465,48,0.455527638,0.509135706,1.473799051,49,0.402789403,136
6,murray-state,12.69,12,7.097202727,7.097202727,3.228754366,47,5.946839008,-7.649328743,9.552818892,0.575140529,1.867967737,8,7.874990738,54,-4.11,221.8770774,46,0.511055276,0.527036769,1.565128815,47,0.374858578,147
56,buffalo,10.58,13,5.793729521,5.793729521,3.082444587,48,5.739283019,-7.228540827,9.218631545,0.510308384,1.776305814,8,8.237908481,53,-0.94,190.2139945,49,0.458040201,0.515381248,1.488802698,48,0.359487378,150
28,montana,10.82,14,6.093635783,6.093635783,2.843514377,50,5.586380241,-7.187641982,10.25634185,0.547851438,1.720715655,7,7.063576943,56,-2.28,156.2028758,50,0.464070352,0.496347277,1.456764906,50,0.32574617,156
44,bucknell,6.81,14,6.139036705,6.139036705,2.30347359,52,5.880370679,-7.493839499,9.525443151,0.472205909,1.84392838,7,9.498235839,46,-4.99,114.8270875,53,0.363316583,0.453325841,1.269968265,53,0.324520703,152
64,georgia-state,7.22,15,6.01093384,6.01093384,2.24031339,53,5.705955427,-6.800707712,12.2276195,0.415978158,1.770747072,7,9.172523619,47,-2.78,119.6404877,52,0.37361809,0.448294291,1.270206671,52,0.321640741,151
8,marshall,5.39,13,5.561737407,5.561737407,2.365086705,51,5.974789157,-7.563768933,11.27857969,0.350582989,1.823744013,7,10.96255144,36,-7.68,0,61,0.327638191,0.458234146,1.244106482,54,0.298993761,151
34,pennsylvania,3.7,16,5.833243192,5.833243192,1.719462959,55,5.660744628,-7.533252938,7.834317273,0.392426205,1.631752047,6,10.15924687,41,-4.7,70.89026463,55,0.285175879,0.406801622,1.098779123,55,0.298188925,151
40,college-of-charleston,4.74,13,5.543460052,5.543460052,1.471005155,56,5.751695856,-6.129128325,8.723518041,0.420143363,1.79339884,7,8.274065795,52,-4.6,67.5733989,56,0.311306533,0.387008651,1.085323834,57,0.267916895,165
24,north-carolina-greensboro,9.06,13,6.318147239,6.318147239,2.203220859,54,5.516866497,-8.583648474,12.1634816,0.61803681,1.625556748,9,4.331509807,59,-4.9,146.0484681,51,0.419849246,0.445339377,1.310528,51,0.265656437,161
32,lipscomb,0.38,15,5.649992748,5.649992748,0.884100798,58,5.803875969,-8.232491508,8.440300943,0.502989485,1.674131617,7,9.041063829,49,-4.91,40.73987369,57,0.201758794,0.340253908,0.882266609,60,0.246120831,166
12,stephen-f-austin,5.62,14,6.708018605,6.708018605,1.369906977,57,5.794070525,-8.850303099,12.00072868,0.592756589,1.723350388,9,4.895327418,58,-1.41,108.9225942,54,0.333417085,0.378954835,1.091326756,56,0.235148548,168
48,iona,2.88,15,4.733468388,4.733468388,0.824424114,59,5.705087209,-7.123348276,8.682502859,0.386538147,1.667069106,7,4.103070125,60,-4.76,32.08009419,59,0.264572864,0.335499865,0.935572595,58,0.17673822,177
50,maryland-baltimore-county,-1.91,16,5.156435781,5.156435781,-0.060146189,62,5.628050166,-7.61519967,9.674068918,0.393160459,1.606608075,7,6.350921109,57,-5.96,-2.354968121,62,0.144221106,0.265032068,0.674285241,63,0.167118848,182
16,cal-state-fullerton,1.32,15,4.893599707,4.893599707,0.719666422,60,5.793083416,-9.028284901,9.12476173,0.407996701,1.574316349,7,3.711723484,61,-1.2,32.62826437,58,0.225376884,0.327154521,0.879685926,61,0.16499178,180
60,wright-state,2.81,14,5.322830189,5.322830189,0.584494827,61,5.364432639,-7.983910612,7.978849665,0.495616251,1.446471394,8,2.792853882,62,-2.49,31.86312545,60,0.26281407,0.316386304,0.895586679,59,0.153073948,181
2,radford,-0.02,16,4.811413693,4.811413693,-0.302465921,63,5.338770453,-7.707568643,9.582355644,0.575106448,1.528618471,9,0.980365602,63,-4.35,-15.68766455,63,0.191708543,0.245728076,0.683164695,62,0.084669574,188
18,north-carolina-central,-7.65,16,4.749570573,4.749570573,-3.38704876,64,5.571994395,-8.438784188,8.501899059,0.613734816,1.565057314,9,-7.812154113,64,-6.72,-143.8994017,64,0,0,0,64,-0.169078747,192