,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,ws/40*BPM*Depth,KP SoS,KP Overall,538 Overall
15,michigan-state,XXXXXX,7.253883274,9.522791001,5.953431253,-7.853479151,10.53764265,0.615549397,1.940358657,8,723.8545634,13.51,31.31,
1,duke,XXXXXX,7.366887915,9.745366312,5.756407517,-7.466269924,14.39481841,0.653091735,2.034931121,8,714.4359207,13.13,31.9,
17,gonzaga,XXXXXX,9.189526462,9.671145338,6.328458455,-6.469441738,11.82946092,0.543911191,2.287314436,8,713.9513201,3.3,32.71,
49,virginia,XXXXXX,8.167407662,10.16789211,5.836094358,-6.144035354,9.863373991,0.503406631,1.952047758,7,648.3196955,10.39,35.54,
63,tennessee,XXXXXX,6.971381266,7.966579795,5.943679104,-6.899768699,11.32943431,0.559469569,1.98084317,8,592.4070868,10.65,27.05,
27,texas-tech,XXXXXX,7.406454366,8.173998687,5.844676772,-7.75555033,12.57838148,0.497531188,1.768340446,8,586.3811095,8.29,26.72,
47,kentucky,XXXXXX,6.758221938,8.01920371,5.763552576,-7.789757748,11.26522226,0.668428206,1.877353694,8,580.123438,11.08,27.47,
33,north-carolina,XXXXXX,6.813406906,8.715290139,5.681711273,-6.656830904,8.483499466,0.612785689,1.855946956,7,553.3553772,13.55,29.06,
59,purdue,XXXXXX,5.81051834,7.606888238,5.654163888,-7.042034259,11.02670914,0.503308076,1.731796108,8,547.1640931,12.97,26,
31,michigan,XXXXXX,7.074820053,8.820477762,5.558962766,-5.834261494,10.06782964,0.365065221,1.804708471,7,540.3754538,11.55,29.36,
7,virginia-tech,XXXXXX,6.81019855,7.294610778,5.971530832,-7.72838431,9.645335645,0.511807438,1.808400567,8,535.7110698,8.52,24.38,
37,auburn,XXXXXX,6.423451314,7.404121441,5.739025765,-7.438654112,13.92627025,0.540879346,1.848255466,8,532.7501908,10.93,23.39,
13,louisville,XXXXXX,5.427860636,6.536552567,5.583994943,-7.702696722,7.009459046,0.480805318,1.555100856,9,522.168648,12.91,20.9,
23,florida-state,XXXXXX,5.503251928,6.23063946,5.514341528,-8.289840866,10.6530527,0.593708226,1.60220919,9,483.399635,10.6,22.46,
53,wisconsin,XXXXXX,5.865298879,6.983405978,5.383380865,-6.146312495,9.127926526,0.403130448,1.61890878,8,479.9371472,13.49,23.61,
43,houston,XXXXXX,7.189036576,6.48029572,5.539213902,-7.152951615,10.66466926,0.566616342,1.768085603,9,470.0954267,3.13,22.42,
39,kansas,XXXXXX,4.900278977,6.366124211,5.488301544,-8.037453326,10.08666556,0.457037529,1.581987712,8,447.0143478,13.82,20.65,
5,mississippi-state,XXXXXX,5.664183328,6.162057828,5.754830204,-8.045380001,12.60979699,0.60607044,1.847397724,8,443.1529029,10.5,20.74,
9,maryland,XXXXXX,5.579902755,6.200421394,5.626517056,-8.167855198,9.443192869,0.58123825,1.679098865,8,437.6887551,11.02,19.93,
11,louisiana-state,XXXXXX,5.882724537,6.151607793,5.646750199,-7.621957751,12.6008237,0.702939965,1.878555362,8,431.0017432,9.59,21.06,
45,wofford,XXXXXX,8.065589335,5.320208096,6.094203233,-6.799149339,9.484750447,0.640847017,2.070388555,9,415.0305489,1.41,20.77,
21,marquette,XXXXXX,6.007548015,5.71384443,5.828626575,-8.266354191,8.297023047,0.473145006,1.661296415,8,405.775795,7.46,18.24,
62,iowa,XXXXXXX,4.963491426,5.053684536,5.690278226,-7.45366377,8.905870539,0.515756218,1.693995056,9,404.2867121,10.5,15.91,
55,kansas-state,XXXXXX,5.823301903,6.520075433,5.285484526,-7.069545622,10.54399109,0.42169724,1.564399109,7,375.365108,10,20.18,
30,florida,XXXXXXX,5.476739507,6.238848422,5.443565173,-7.429050286,11.03869233,0.527211238,1.627192161,7,374.7152563,11.71,18.4,
41,iowa-state,XXXXXX,5.99803664,6.823677843,5.804273731,-6.861284073,10.29483235,0.451109575,1.898110957,6,370.6409957,10.3,21.8,
61,cincinnati,XXXXXX,6.206201886,5.25716494,5.310384615,-6.22547474,11.22518164,0.62894265,1.714942031,9,370.2136872,4.19,17.06,
57,villanova,XXXXXX,6.022536448,5.951653864,5.801390306,-6.775802855,8.603558551,0.550056435,1.783202696,7,369.8832327,8,18.57,
3,virginia-commonwealth,XXXXXX,6.522462597,5.215907137,5.424896882,-7.916809775,12.41417025,0.554605331,1.621575236,9,360.3101703,1.05,15.59,
42,ohio-state,XXXXXXX,4.559538587,5.211616572,5.459400571,-8.053381449,8.035028432,0.45714541,1.459039805,8,358.3857255,11.56,15.03,
20,baylor,XXXXXXX,5.064563758,4.720956376,5.440241299,-8.218855591,10.3561745,0.647127517,1.639538591,9,357.1033291,9.11,15.24,
29,nevada,XXXXXX,7.215105306,6.117567347,5.858764494,-6.233959533,9.351902041,0.454754286,1.875616327,7,356.5849405,1.36,18.92,
25,buffalo,XXXXXX,7.271233874,6.072940787,5.773520585,-6.664645636,10.33384056,0.543370824,1.918389018,7,355.627681,2.79,20.33,
58,saint-marys-ca,XXXXXXX,6.217035384,5.25741154,5.744484875,-6.864148846,8.440229519,0.546781957,1.825600893,8,353.236154,3.52,17.62,
52,oklahoma,XXXXXXX,4.634681348,5.103520187,5.316054614,-7.593095508,8.153803804,0.43195362,1.502243911,8,344.1736451,12.56,15.48,
51,mississippi,XXXXXX,5.251045698,4.803252561,5.724666088,-7.898400091,10.2598146,0.476022117,1.677900472,8,338.8247745,8.75,15.16,
19,syracuse,XXXXXX,5.101077521,5.683077183,5.396545106,-7.30952892,13.65902719,0.492377977,1.617274109,7,333.8954076,9.94,16.19,
4,central-florida,XXXXXXX,5.966304945,4.868887363,5.586517986,-7.349607101,10.42082761,0.497896635,1.681972871,8,318.476512,3.61,14.6,
38,new-mexico-state,XXXXXXX,7.209094399,4.084452975,5.783081033,-7.573551493,7.934374455,0.660312336,1.840294887,10,304.7833772,-3.59,13.52,
54,oregon,XXXXXXX,5.473919495,4.547576953,5.438582677,-7.82735648,12.30694554,0.492585635,1.5917206,8,291.1689657,4.08,15.15,
35,utah-state,XXXXXX,6.857957917,5.026233184,5.91387522,-7.458709048,9.917954467,0.499641256,1.826724733,7,289.4930185,-0.02,16.6,
36,washington,XXXXXXX,5.257806022,4.290407021,5.566203463,-8.677907451,14.53383265,0.500518989,1.624955364,8,283.8051134,4.93,13.37,
46,seton-hall,XXXXXXX,4.893289256,5.071735537,5.551136031,-7.241038545,9.242038567,0.485096419,1.645680441,6,261.2292331,9.23,12.74,
14,minnesota,XXXXXXX,4.679856322,5.027711925,5.307379705,-6.949242209,8.07268319,0.522029454,1.633994253,6,252.9015411,12.01,14.42,
26,arizona-state,XXXXXXX,4.992054621,3.763702763,5.471614778,-7.738842464,8.992823118,0.544652271,1.565085742,8,244.4174945,4.81,11.22,
10,belmont,XXXXXXX,7.044535433,3.514470691,6.128482704,-6.861361092,9.366894138,0.443455818,2.033219598,8,227.7899313,-2.63,13.69,
22,murray-state,XXXXXXX,7.584480212,3.876879379,5.979459341,-7.778014857,11.31815944,0.58689074,2.030537777,7,202.7253387,-4.65,13.48,
40,northeastern,XXXXXXX,5.813400208,2.873123487,6.165303301,-7.135005025,8.299671394,0.382644414,1.896790038,7,170.1977388,-0.8,8.75,
56,california-irvine,XXXXXXX,6.376887771,2.612794719,5.506032354,-7.383379741,9.716771456,0.600859793,1.767197422,9,165.5125866,-3.92,9.49,
12,yale,XXXXXXX,6.101233703,2.859466822,6.027626568,-7.711014521,9.888966725,0.451412726,1.900542907,7,163.1276315,-1.59,8.53,
6,liberty,XXXXXXX,7.201864728,2.441150442,6.040632696,-7.463997382,9.403950695,0.441825221,1.852642225,8,148.3134835,-4.46,11,
24,vermont,XXXXXXX,6.624047098,2.462203532,5.749358799,-7.417123069,10.17941127,0.452484441,1.774264087,8,133.7364355,-6.03,8.72,
28,northern-kentucky,XXXXXXX,6.314739501,2.131733502,5.800548658,-7.554769482,10.41858225,0.5201042,1.79418377,8,125.3970767,-4.2,6.67,
8,saint-louis,XXXXXXX,4.796143609,2.224760136,4.946500921,-7.760042007,10.71035283,0.641029093,1.480643764,7,107.6519201,0.25,6.17,
60,old-dominion,XXXXXXX,5.417066667,2.031623932,4.999902364,-7.246222524,9.998222222,0.502502564,1.50262906,7,94.56203317,-2.37,5.59,
44,georgia-state,XXXXXXX,4.995700528,1.44787201,5.744578459,-7.163255666,12.34917676,0.401713265,1.716191364,8,93.97517607,0.93,5.6,
32,montana,XXXXXXX,6.01685101,1.092950023,5.92360404,-7.506086807,9.255538148,0.432879524,1.792725991,8,59.24493456,-6.61,3.54,
64,colgate,XXXXXXX,5.34958524,0.630287823,5.862058006,-8.299609969,9.565357934,0.522143173,1.730466421,8,37.43441794,-4.23,4.28,
16,bradley,XXXXXXX,4.840683046,0.663164314,5.446110548,-7.666249053,9.076842656,0.475136783,1.528187838,7,33.82910886,-2.09,-0.32,
48,abilene-christian,XXXXXXX,6.583527519,0.059349855,5.704929204,-7.426461902,10.60122304,0.478990988,1.730745092,9,0,-9.06,2.07,
50,gardner-webb,XXXXXXX,5.716847703,-0.558323932,5.974582638,-7.360288456,8.888815471,0.346970185,1.797215149,7,-29.25019783,-4.57,-0.77,
18,fairleigh-dickinson,XXXXXXX,5.350769231,-1.079980485,5.887604563,-7.959793135,10.79266547,0.517697187,1.793195642,6,-35.42462541,-8.45,-3.79,
34,iona,XXXXXXX,4.754522293,-0.993949045,5.793299445,-7.172572747,8.275177969,0.378784189,1.740266017,6,-39.32362989,-6.69,-3.14,
2,north-dakota-state,XXXXXXX,4.451407068,-0.747153141,5.927332434,-7.15517914,6.790265052,0.383375327,1.670858966,9,-52.19957442,-3.02,-3.14,