,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,SOS,SOSp,SOSp^0.5
1,kansas,1,5.582012963,6.391031866,5.565921788,-7.625697187,10.4889501,0.437571389,1.671861864,7,12.8,21.51,4.63788745
2,howard,16,4.909427497,-0.904616758,5.67489094,-9.545638322,9.572820677,0.590709139,1.536235033,10,-5.79,2.92,1.708800749
3,arkansas,8,5.401555275,4.932526216,5.558404444,-8.018287449,12.6881011,0.533590124,1.649330876,9,9.56,18.27,4.274342055
4,illinois,9,5.538921656,4.502826911,5.453209503,-7.795247738,11.37510373,0.55369028,1.608946103,9,7.69,16.4,4.049691346
5,saint-marys-ca,5,6.895845386,6.145082553,5.544286357,-6.340461604,10.23128941,0.535654006,1.752636937,8,7.11,15.82,3.97743636
6,virginia-commonwealth,12,6.174873917,3.642953116,5.598473684,-8.303139016,13.12264924,0.491053889,1.672441374,8,1.62,10.33,3.214031736
7,connecticut,4,6.909011028,6.503331142,5.709909428,-8.112587861,10.89048454,0.688894656,1.804949204,9,7.39,16.1,4.01248053
8,iona,13,6.358377363,2.535879849,5.514977487,-6.398016338,12.7827907,0.544519725,1.735241623,10,-3.44,5.27,2.295648057
9,texas-christian,6,5.526722608,5.050208079,5.397975052,-7.283645809,12.12463521,0.57510268,1.664139803,10,8.93,17.64,4.2
10,arizona-state,11,4.508418908,3.54526121,5.132078091,-7.178417746,11.52407325,0.477454104,1.437571246,10,8.29,17,4.123105626
11,gonzaga,3,7.115840846,6.526935033,6.127932032,-6.160747212,10.02857365,0.540045073,2.050156979,8,7.5,16.21,4.026164428
12,grand-canyon,14,5.776263336,1.521092029,5.772843021,-7.498361881,7.60434336,0.487370656,1.625393873,10,0.98,9.69,3.112876483
13,northwestern,7,5.302217485,4.236444472,5.143733141,-6.136131687,12.92321083,0.453577758,1.545938366,8,8.42,17.13,4.138840417
14,boise-state,10,6.072778352,4.795879088,5.607002725,-6.971287711,7.881700216,0.464763529,1.63779686,7,6.52,15.23,3.90256326
15,ucla,2,7.337345624,7.599295409,5.510804888,-6.211889433,12.289439,0.579188654,1.868049525,8,8.86,17.57,4.191658383
16,north-carolina-asheville,15,5.479289818,-0.029211098,5.832325678,-9.032801612,9.446733976,0.407177801,1.59203609,8,-5.19,3.52,1.876166304
17,purdue,1,6.775623319,6.621116794,5.693605274,-6.958647795,8.505852341,0.713381601,1.839286223,9,9.07,17.78,4.216633728
18,texas-southern,16,3.385959986,-2.856592104,5.07,-8.47337591,9.194822006,0.537185921,1.237986056,11,-4.52,4.19,2.046948949
19,memphis,8,5.355558821,4.497858789,5.720948469,-7.993422473,12.37341883,0.506091307,1.644404263,11,7.1,15.81,3.97617907
20,florida-atlantic,9,7.01207432,4.428435593,5.795717703,-7.096370331,8.332794208,0.520545015,1.778433952,9,0.65,9.36,3.059411708
21,duke,5,5.966654332,5.025050978,5.582619647,-7.541590738,10.03595353,0.62131619,1.704475982,9,7.02,15.73,3.966106403
22,oral-roberts,12,7.158490556,3.347605838,5.97316349,-5.543739892,11.32636532,0.418099416,2.029457852,8,-2.96,5.75,2.397915762
23,tennessee,4,7.259708533,6.744758493,5.408949516,-6.937216903,11.91460021,0.7154422,1.688973024,9,8.14,16.85,4.10487515
24,louisiana,13,5.924402237,1.65027501,5.771827045,-7.678997678,8.988375143,0.572997379,1.786831691,8,-1.06,7.65,2.765863337
25,kentucky,6,5.671759,5.03767047,5.469258094,-6.601717357,9.020946287,0.608372983,1.751558324,8,8.2,16.91,4.112177039
26,providence,11,5.405996012,3.770733508,5.567384615,-6.904002665,10.07678121,0.562033871,1.763028761,9,6.03,14.74,3.839270764
27,kansas-state,3,5.369727393,4.999565463,5.601366512,-8.487878204,9.570265652,0.541795212,1.518137824,9,9.81,18.52,4.303486958
28,montana-state,14,5.443695591,0.668459053,5.7936375,-7.887758622,9.038197875,0.444941652,1.55585817,10,-1.66,7.05,2.655183609
29,michigan-state,7,4.691659338,4.686945674,5.512306959,-7.112624583,7.302817136,0.441507427,1.541499116,9,11.21,19.92,4.463182721
30,southern-california,10,5.37390062,4.774379784,5.583437946,-7.620395005,11.64191776,0.492505163,1.689500911,7,8.12,16.83,4.102438299
31,marquette,2,5.997122346,5.52233376,5.876589118,-6.775934872,11.56921157,0.434002515,1.835803028,9,7.87,16.58,4.071854614
32,vermont,15,5.840717333,1.566947412,5.802465691,-5.591288792,8.654833249,0.323554803,1.789121547,8,-3.74,4.97,2.229349681
33,alabama,1,6.690174823,7.209456034,5.636353503,-7.879848442,9.114975148,0.552863531,1.669133209,9,10.14,18.85,4.341658669
34,texas-am-corpus-christi,16,5.645863141,-0.433585333,5.722623225,-7.623315542,9.123887782,0.561108771,1.683288429,9,-7.71,1,1
35,maryland,8,5.884237076,5.481320151,5.552569632,-6.684402228,9.167511557,0.547400521,1.692054105,8,7.91,16.62,4.076763422
36,west-virginia,9,5.179640367,5.04434309,5.621012397,-7.836390058,9.203935403,0.599336318,1.603588339,10,11.25,19.96,4.467661581
37,san-diego-state,5,6.049742982,5.328668471,5.487734205,-6.999857286,11.0287667,0.56450922,1.668900214,9,8.39,17.1,4.135214626
38,college-of-charleston,12,6.867165358,2.824252746,5.551817143,-7.182917385,8.968646915,0.58802676,1.779207961,9,-4.49,4.22,2.054263858
39,virginia,4,5.878590572,4.991309303,5.471515738,-5.88794721,12.4107294,0.41457148,1.752347273,8,6.1,14.81,3.848376281
40,furman,13,6.445485843,1.75358782,5.99577958,-6.866291425,9.21772343,0.550714673,1.875537043,9,-3.92,4.79,2.188606863
41,creighton,6,5.80821535,5.546978791,5.822562526,-7.289021632,8.240602317,0.457585523,1.709658492,9,9.46,18.17,4.262628297
42,north-carolina-state,11,5.815840503,4.245774671,5.462660323,-5.42331456,11.66933095,0.551000069,1.818537259,9,5.24,13.95,3.734969879
43,baylor,3,5.485635823,5.592511886,5.725623152,-7.642199208,8.525604021,0.560215982,1.673912132,9,11.12,19.83,4.453088816
44,california-santa-barbara,14,5.603370829,1.555090383,5.818024211,-7.357703418,8.728121573,0.4353243,1.70083193,8,-2.19,6.52,2.553429067
45,missouri,7,5.02487084,3.667224673,5.857974684,-6.814443804,11.99067903,0.477159593,1.810037312,10,7.26,15.97,3.996248241
46,utah-state,10,5.81335424,4.566795633,6.02282617,-7.666301835,7.778438332,0.445246811,1.671528807,9,7.21,15.92,3.989987469
47,arizona,2,0,0,NA,NA,0,0,0,7,8.69,17.4,4.171330723
48,princeton,15,5.668226362,1.115122256,5.694243038,-7.615569019,7.558309806,0.47373009,1.594626598,9,-3.02,5.69,2.385372088
49,houston,1,8.442306748,7.759450072,5.596585956,-6.295972321,14.66831563,0.684896626,1.987961855,9,4.76,13.47,3.670149861
50,northern-kentucky,16,5.28433351,0.186810808,5.406563481,-7.328862203,12.085326,0.559664849,1.649971178,9,-3.49,5.22,2.284731932
51,iowa,8,5.33473664,4.783578346,5.550041789,-5.587204266,8.947354541,0.550146914,1.829576889,8,8.81,17.52,4.185689907
52,auburn,9,5.439867893,5.305389835,5.44572026,-7.493658441,13.0601163,0.556729725,1.683432483,9,9.26,17.97,4.239103679
53,miami-fl,5,5.706761723,4.27021377,5.890610749,-7.012880643,9.946751137,0.54374204,1.888784279,8,5.14,13.85,3.721558813
54,drake,12,6.715316922,3.008718221,5.762982824,-6.665200274,7.350704662,0.441058364,1.715263009,8,-1.25,7.46,2.731300057
55,indiana,4,5.388154909,5.074809498,5.720162811,-7.330485507,10.39105002,0.458259223,1.728107955,9,9.06,17.77,4.215447782
56,kent-state,13,0,0,0,0,0,0,0,8,-1.35,7.36,2.712931993
57,iowa-state,6,5.27882614,5.047834526,5.324391179,-8.430400828,12.02875261,0.555555925,1.486407362,9,10.8,19.51,4.417012565
58,pittsburgh,11,5.561112837,3.657798802,5.785801268,-6.972062512,9.039009038,0.518393144,1.752389643,8,4.54,13.25,3.640054945
59,xavier,3,5.865920128,5.802160029,5.91988354,-7.318276573,8.627056555,0.534105305,1.87125532,7,9,17.71,4.208325083
60,kennesaw-state,14,5.397787683,0.353786271,5.610151453,-7.480406339,10.08655235,0.42824358,1.590365268,9,-2.55,6.16,2.481934729
61,texas-am,7,5.615204643,4.621237211,5.491817804,-7.620257255,9.205316265,0.630430607,1.583893189,10,7.76,16.47,4.058324778
62,penn-state,10,5.216702757,4.741061074,5.843401447,-5.947542134,6.437115174,0.320518112,1.707688159,8,8.9,17.61,4.196427052
63,texas,2,6.285957727,6.597773576,5.658262042,-6.915065175,10.83482896,0.501751037,1.722570731,9,10.84,19.55,4.421538194
64,colgate,15,6.305188246,1.212356934,6.051749902,-6.802133653,9.499614257,0.428837278,1.925717616,8,-6.72,1.99,1.410673598
65,arizona-state,11,4.508418908,3.54526121,5.132078091,-7.178417746,11.52407325,0.477454104,1.437571246,10,8.29,17,4.123105626
66,nevada,11,5.223470931,3.667109456,5.636277307,-6.950868137,8.993342732,0.374078665,1.555430416,9,6.79,15.5,3.937003937
