,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model,Points Model,1st game Winning Margin,Red_Lm,Red_lm2
33,houston,1,8.03415353,9.189297383,5.342343324,-5.483344773,15.26946129,0.580676874,1.924685118,7,6,433.8899004,10.29,585.5952656,30,29.369266,53.97879493,102.9345063
1,connecticut,1,8.000734719,7.957793065,6.030297841,-6.131645153,11.34379451,0.653572583,2.068908367,9,7,451.9557286,7.65,528.6883381,27.08466252,26.74565726,49.2375033,85.08733255
49,purdue,1,6.988372509,7.87570153,5.983532357,-7.029925676,8.781641058,0.678394843,1.903257304,9,7,339.604564,11.53,487.0338631,24.950707,24.79167104,48.92145089,79.93061804
7,auburn,4,7.149957276,7.379905693,5.885611643,-6.352066704,12.8836294,0.565425537,1.901334284,10,7.5,365.2635919,8.03,436.7340433,22.37385114,19.37597132,43.29263692,62.46260738
19,arizona,2,7.116295133,7.491193093,5.856595431,-6.768603359,10.30712716,0.613835165,1.876254317,8,6.5,316.6674719,9.64,413.3638559,21.17659825,20.64961887,46.20109341,74.04205597
3,iowa-state,2,7.050392911,7.379617496,5.52308657,-6.636285841,13.63303558,0.539479044,1.74912686,9,7,330.666447,8.74,411.3622571,21.0740565,19.99299102,45.77152736,75.47485719
51,tennessee,2,6.599434397,6.989526472,5.532770186,-5.941270693,12.2225243,0.598755344,1.779935876,8,6.5,254.189639,10.19,341.3327886,17.48645226,17.23525152,44.26967692,70.91635607
17,north-carolina,1,6.526611815,6.905395182,5.629109848,-5.992658151,9.16159975,0.556779323,1.785794128,8,6.5,245.4366018,9.75,322.2215512,16.50738505,16.50738505,45.18577145,72.3618056
39,duke,4,6.956058431,7.242648057,5.880489381,-6.100563757,9.781050228,0.525871354,1.92418291,7,6,271.5275585,7.82,320.7720708,16.43312829,14.53102789,42.76419502,61.94396714
11,brigham-young,6,6.59270908,6.501124196,5.779714172,-6.362536774,7.947834913,0.568416101,1.794226267,9,7,259.8906219,8.41,317.4712763,16.26402884,11.80904925,37.42932815,44.24137244
5,illinois,3,6.456592569,6.742316364,5.816649389,-6.169316434,7.059425019,0.624153607,1.881862827,8,6.5,235.1667773,9.25,300.7279407,15.40626906,13.96401513,42.077918,63.21892535
53,creighton,3,6.514693179,6.769955124,6.06875624,-6.373697386,6.977127309,0.387598229,1.821441732,7,6,222.508228,9.21,283.9339947,14.54591651,12.49808659,42.18432723,51.59907287
23,alabama,4,5.871900972,6.48540758,6.071014815,-6.976731847,9.779522467,0.593837228,1.871347004,9,7,191.6639455,11.42,273.43282,14.00794214,11.47282455,39.84881918,52.05021991
21,baylor,3,6.018175572,6.44908315,5.916004852,-7.252482881,9.785727066,0.632773401,1.804248894,8,6.5,190.029101,11.4,270.8415772,13.87519298,12.99806552,40.94897013,58.80433822
57,gonzaga,5,7.568709623,6.163497908,6.029204724,-5.813496305,10.09514644,0.595464435,2.048219247,7,6,291.0058161,3.01,248.4198413,12.72652919,10.80477779,37.36946695,52.47566792
35,marquette,2,5.764410363,6.153758174,5.813065287,-6.280799613,11.42644127,0.471073514,1.7357701,9,7,175.287555,10.98,244.8152597,12.54186675,11.1872642,41.05196897,54.94744178
25,saint-marys-ca,5,7.536840966,5.304359985,5.598908997,-6.060962013,9.607524316,0.638476142,1.751315089,7,6,261.8352678,3.42,230.8319709,11.82550395,6.669848537,34.06178594,43.19832465
46,colorado,10,6.373968589,6.037393273,6.058513572,-7.255513386,7.602853092,0.533387786,1.846094223,6,5.5,178.9495458,7.89,212.257435,10.87393192,,30.6839641,21.88915207
9,san-diego-state,5,5.926233567,5.202782181,5.486140138,-6.583590159,11.2073975,0.563843037,1.663757641,9,7,170.5124258,8.46,208.871536,10.70047258,9.023660021,33.6707114,43.46171334
32,michigan-state,9,5.602227813,5.823431364,5.505894161,-6.192404032,10.87372726,0.510132546,1.69109217,8,6.5,143.7822512,10.71,198.1685364,10.15215874,,31.10021075,27.72286702
37,kentucky,3,5.768506201,5.31197446,6.057877778,-6.206712204,12.2938151,0.493977733,1.909379405,9,7,159.7232245,7.86,189.1260627,9.68891351,8.720625038,36.57110167,48.20648164
64,texas-christian,9,5.752411425,4.776609083,5.573609813,-7.292674476,11.74293028,0.637651949,1.698927717,10,7.5,158.9390929,7.66,186.0319034,9.530399972,,27.06994497,25.80904464
28,new-mexico,11,6.239860233,5.095988372,5.483072584,-5.732754877,12.99973549,0.513275888,1.810851341,8,6.5,179.7358774,5.45,183.3116711,9.391042682,,25.81955523,20.47773295
61,texas,7,5.616404423,5.607018241,5.736199134,-7.005295591,10.88665571,0.491590477,1.749275498,8,6.5,141.429993,9.39,182.2076424,9.334483376,1.775157213,32.74702023,36.26578243
41,wisconsin,5,5.327854285,5.801011932,5.716797168,-6.19020835,7.358078671,0.536612888,1.714887894,8,6.5,121.1634137,11.69,175.0836973,8.969524223,5.654310319,35.97389594,40.33960877
66,boise-state,10,5.957935639,4.718659784,5.667688966,-7.016013209,7.898981268,0.56891005,1.653094965,8,6.5,151.3883817,7.42,174.7187414,8.95082756,,25.60684017,12.81706426
47,nebraska,8,5.788710095,5.133507159,5.706698988,-6.827542287,8.390960313,0.50665959,1.674024765,8,6.5,146.6935578,7.64,171.499108,8.785885988,2.460861063,29.68400256,23.58951812
30,nevada,10,6.166133009,4.672851339,5.817652063,-6.474823018,9.881675562,0.449202934,1.728247839,8,6.5,165.2595164,4.74,160.5534134,8.225138904,,25.43047766,9.39821773
13,washington-state,7,5.830168666,4.723025927,5.571084543,-6.780858035,9.644540368,0.603797976,1.716700185,8,6.5,142.3593361,6.85,158.7699008,8.133769696,2.175430686,29.34364982,33.11318602
29,dayton,7,6.127662159,4.836255731,5.979294813,-6.632376368,9.700477164,0.445541753,1.812436579,7,6,153.1744273,5.1,152.5693085,7.816113832,-0.409025072,29.77958456,25.31878536
31,mississippi-state,8,5.335048186,4.813252826,5.501778351,-7.79148753,10.89762733,0.649872917,1.645524542,9,7,116.6030206,9.23,148.951408,7.630769071,-2.521389666,28.45102338,32.32464385
62,colorado-state,10,5.61721059,4.223340492,5.881152597,-6.498831484,9.189841465,0.404691598,1.682229017,9,7,128.2319353,7.37,147.5568537,7.559326163,,23.69986089,1.411904144
43,texas-tech,6,5.333446371,5.052602548,5.745882607,-7.105071504,7.390534108,0.497418324,1.615838529,8,6.5,111.4198518,9.73,146.1257827,7.486012506,2.913219549,31.85251981,28.5449727
63,utah-state,8,6.076769147,4.252558258,5.900496512,-6.941373255,10.33009267,0.460395835,1.774683827,8,6.5,150.3601371,4.74,146.0783244,7.483581221,-2.046818751,26.29234929,19.05421706
27,clemson,6,5.249347788,4.786434306,5.810974594,-6.386110383,8.37131213,0.488072373,1.69465435,9,7,109.5728728,8.81,136.835585,7.010076399,-2.380966284,30.82777208,25.98096895
15,florida-atlantic,8,5.732069616,4.367060299,5.818639906,-6.741750325,9.133215166,0.547579151,1.778217743,9,7,139.1625903,4.61,133.9671153,6.863124918,0.92821849,26.73318215,21.70958487
48,texas-am,9,5.124534282,4.594354798,5.155236735,-5.676917496,9.904453196,0.762182824,1.683356646,9,7,97.48226548,9.07,123.4634884,6.325024925,,26.36826597,28.98865475
45,florida,7,5.209680229,4.679887979,5.500420354,-6.3153777,9.889683782,0.551873004,1.743429855,8,6.5,97.56212275,8.88,122.3017311,6.26550819,-4.608423727,29.17756872,34.49885232
55,kansas,4,5.151244074,5.190734318,5.686499436,-7.777607282,10.29913975,0.451720962,1.569499606,6,5.5,84.21882928,11.71,121.8127462,6.240457533,3.103873001,34.86432712,41.34338706
14,drake,10,6.178235202,3.609142606,5.899887006,-5.882993761,7.1504482,0.413301579,1.722126151,9,7,154.4918926,1.53,116.3058372,5.958339009,,21.33519903,-3.74855269
16,northwestern,9,5.350522105,4.483376788,5.632049659,-5.364128792,9.985495596,0.464089333,1.767180363,7,6,96.77983485,8.05,115.8484369,5.934906428,,25.94100063,15.67743902
59,south-carolina,6,5.089829137,4.034577834,5.44253304,-6.096997506,7.753869586,0.522725217,1.585269704,10,7.5,94.26550622,6.49,102.8200181,5.267461547,0.116345049,27.93312466,25.06009565
26,grand-canyon,12,6.688711045,3.185478274,5.716607355,-7.295732853,12.55549374,0.579585488,1.755937812,10,7.5,188.8947518,-1.7,100.63758,5.155655412,,17.22409136,1.219332801
60,oregon,11,4.981541055,4.609776065,5.532235915,-6.319034674,10.49707718,0.535523417,1.725809054,8,6.5,80.6478965,8.78,100.5489811,5.151116498,,23.94763785,13.28891784
68,virginia,10,5.005985274,3.477278583,5.209960219,-5.761974277,13.00223214,0.453476149,1.56022334,10,7.5,81.12269896,6.97,91.13738998,4.668961414,,20.82752254,7.656779464
44,north-carolina-state,11,4.982072166,4.089058794,5.484519231,-5.816697614,10.43154489,0.513456405,1.7154084,8,6.5,75.25329652,7.89,89.26019689,4.572792958,,21.94287636,8.196472763
12,duquesne,11,5.32117915,2.907463449,5.456651786,-7.269735161,12.26258623,0.504977051,1.592400937,10,7.5,94.06079241,4.05,86.96049854,4.45497959,,17.39373428,1.791464991
42,james-madison,12,7.183243975,3.027440904,5.832891961,-6.253109567,10.65016457,0.5414283,1.850579116,9,7,201.6663371,-4.81,64.71245224,3.315213905,,16.61564748,-3.228659239
56,samford,13,6.450761329,2.169066133,6.011965748,-7.822639432,12.59207,0.505060009,1.846573813,11,8,154.9429302,-3.72,61.22563507,3.136584532,,12.07090461,-10.63449454
8,yale,13,5.892594925,2.028250723,5.587186047,-6.007792334,8.918664617,0.465559358,1.726502559,8,6.5,96.40049767,-0.61,58.51814088,2.997879815,,11.52876528,-15.31807997
24,college-of-charleston,13,5.884834494,1.954418451,5.660553435,-5.949196751,8.581233816,0.575069318,1.77328075,10,7.5,109.2242887,-2.87,49.48509525,2.535117588,,11.24451104,-15.43666718
54,akron,14,5.803876814,1.223030071,5.66572921,-7.133763061,8.155456334,0.48968589,1.570837469,9,7,83.81825336,-2.52,39.97331691,2.047829922,,7.188665772,-31.87981898
58,mcneese-state,12,8.22262027,2.547248762,5.860783673,-6.047575626,14.27019215,0.60212445,1.968363958,9,7,243.6304283,-7.26,37.51228402,1.921751399,,14.76690773,-0.181480954
40,vermont,13,5.985674738,1.173206253,5.594384257,-5.751245459,9.635585204,0.403470242,1.653951572,10,7.5,96.97055547,-3.9,37.12869963,1.9021004,,8.236844073,-27.24139905
10,alabama-birmingham,12,4.63515069,1.898380556,5.554801572,-6.929241983,10.63415366,0.604214524,1.709803276,8,6.5,36.56216581,3.62,32.73111644,1.676812555,,12.26876514,-6.249179723
6,morehead-state,14,7.062210537,0.969635776,5.80159202,-7.555431956,10.21638392,0.626568147,1.778855311,8,6.5,120.1229669,-6.08,28.15256908,1.442253929,,6.213097738,-21.41620731
36,western-kentucky,15,5.510409909,0.740713726,5.634386035,-7.428338744,9.470493299,0.489745873,1.592426477,9,7,63.41664026,-3.4,26.44162807,1.354602554,,4.091747845,-35.17424743
4,south-dakota-state,15,5.259525931,0.634834561,5.855110309,-6.888824265,9.441637175,0.42348619,1.648936541,8,6.5,48.700974,-3.16,21.1022276,1.081065482,,3.684113058,-42.70166105
38,oakland,14,4.74504402,0.959400826,5.580485476,-6.967944582,9.094716016,0.519336851,1.638490688,9,7,36.40764202,-1.9,18.90083817,0.968288472,,6.173693179,-26.79703575
22,colgate,14,5.890492868,0.272927682,5.635553164,-7.019060899,9.780564834,0.430916726,1.606949791,10,7.5,73.26749529,-6.09,17.12138942,0.877127451,,3.530771574,-34.77979191
34,longwood,16,5.582423536,-0.238055551,5.401810013,-7.400864261,9.259765005,0.672761459,1.584443583,8,6.5,45.86620206,-5.58,12.31182806,0.630733996,,-0.916513873,-38.35208679
20,long-beach-state,15,4.459727322,0.224728925,5.436687923,-7.484770271,11.63886571,0.560535688,1.595957466,8,6.5,19.03983573,-1.59,10.28655434,0.52697938,,2.105206362,-30.85728196
2,stetson,16,4.798532212,-1.303346546,5.806665303,-6.645840554,7.758359522,0.496031872,1.669612288,9,7,17.19098475,-3.87,6.617329238,0.339005263,,-5.017884202,-57.39837114
52,saint-peters,15,4.714797713,-0.75234871,5.008096921,-7.608899647,11.66812284,0.617326914,1.408882789,9,7,20.4465964,-6,4.903398931,0.251200747,,-1.656542533,-34.04712444
50,montana-state,16,4.328746354,-1.170292522,5.763490733,-7.316191728,9.601069783,0.365098026,1.535091622,7,6,8.107776634,-3.9,3.1043568,0.159035958,,-4.505626211,-60.52603395
70,howard,16,4.284149227,-2.496336722,5.762462072,-8.74562249,8.038890701,0.561354568,1.421112757,9,7,2.767438528,-7.84,0.316753049,0.016227234,,-9.610896378,-68.25914746
18,wagner,16,4.506119725,-3.124886585,4.899157175,-6.184059429,8.228968816,0.534999841,1.348014076,7,6,0,-9.52,0,0,,-12.03081335,-61.64806052
72,grambling,16,3.834317727,-2.613474787,5.350269767,-8.285238478,10.00150079,0.519158267,1.426336319,9,7,0,-6.43,0,0,,-10.06187793,-56.86815742
