;;,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Daryl Macon,34,29,1048,23.4,0.625,0.562,0.517,0.451,563,1.4,9.1,5.4,23.1,1.8,0.2,11.9,24.4,,4.2,0.8,5,0.191,,8.9,-0.7,8.2
2,Jaylen Barford,34,34,1061,22.1,0.584,0.563,0.421,0.264,567,3.8,10.6,7.3,16.1,1.9,1.1,10.9,27.2,,3.3,1,4.2,0.159,,6.9,0.1,7
3,Daniel Gafford,34,25,769,27.2,0.603,0.618,0,0.599,381,11.2,20,15.7,6.2,1.4,11.3,9.9,23.8,,2.5,1.3,3.7,0.194,,3.4,5.9,9.3
4,Anton Beard,34,34,1026,12.1,0.497,0.454,0.408,0.333,348,2.3,7.7,5,16.8,1.7,0.2,11.9,17.7,,1.4,0.7,2.2,0.085,,2.7,0.3,2.9
5,Trey Thompson,34,9,611,12.8,0.522,0.505,0,0.295,149,7.4,17.3,12.5,13.3,2,5.5,23.9,11.4,,0.5,0.9,1.4,0.091,,0.7,6.1,6.9
6,C.J. Jones,34,0,506,14.4,0.561,0.543,0.614,0.12,181,0.9,10,5.5,4.9,0.9,0.9,6.3,20.1,,0.9,0.3,1.3,0.101,,3.3,-1.9,1.4
7,Dustin Thomas,26,17,-500,12.5,0.554,0.516,0.032,0.543,144,7.2,17.1,12.3,8.4,2.2,0.7,19.7,14.4,,0.6,0.6,1.2,0.096,,1,2.6,3.7
8,Adrio Bailey,30,15,419,15.1,0.552,0.538,0,0.355,125,7.8,13.1,10.5,6.4,2,6.6,14.2,14.8,,0.6,0.5,1.1,0.108,,0.9,5,5.9
9,Darious Hall,34,5,497,13.4,0.571,0.566,0.248,0.529,169,7.3,17,12.2,5.4,1.8,1.7,19.6,18.6,,0.5,0.6,1.1,0.089,,0.8,1.2,2
10,Arlando Cook,27,2,279,7.3,0.425,0.426,0,0.319,53,5.4,13.7,9.6,5.6,1.4,0.9,15.6,11.3,,0,0.3,0.3,0.037,,-1.8,1.7,-0.1
11,Jonathan Holmes,11,0,18,22.7,0.47,0.467,0.4,0.133,13,13,6.2,9.5,14.5,3.1,0,11.1,48.9,,0,0,0,0.049,,2.8,-4.5,-1.7
12,Gabe Osabuohien,19,0,135,3.4,0.37,0.4,0.16,0.4,26,5.2,18.3,11.9,8.1,1.2,2.7,27,14.8,,-0.2,0.2,0,-0.013,,-4.7,2.6,-2.1
13,Jt Plummer,6,0,6,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0,,-1.8,1.5,-0.3